[INFO] [2025-11-22 11:59:14] [system.py:53] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-26 20:19:30] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 10:42:35] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 10:42:35] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 10:42:35] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 10:42:35] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 10:42:35] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 10:42:35] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 10:42:35] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 10:42:35] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 10:42:35] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 11:09:28] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 11:09:28] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 11:09:28] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 11:09:28] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 11:09:28] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 11:09:28] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 11:09:28] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 11:09:28] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 11:09:28] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 11:10:19] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 11:10:19] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 11:10:19] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 11:10:19] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 11:10:19] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 11:10:19] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 11:10:19] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 11:10:19] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 11:10:19] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 11:10:40] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 11:10:40] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 11:10:40] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 11:10:40] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 11:10:40] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 11:10:40] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 11:10:40] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 11:10:40] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 11:10:40] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 11:28:41] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 11:28:41] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 11:28:41] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 11:28:41] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 11:28:41] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 11:28:41] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 11:28:41] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 11:28:41] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 11:28:41] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 14:10:51] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 14:10:51] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 14:10:51] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 14:10:51] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 14:10:51] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 14:10:51] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 14:10:51] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 14:10:51] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 14:10:51] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 14:14:29] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 14:14:29] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 14:14:29] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 14:14:29] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 14:14:29] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 14:14:29] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 14:14:29] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 14:14:29] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 14:14:29] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 19:37:05] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 19:37:05] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 19:37:05] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 19:37:05] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 19:37:05] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 19:37:05] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 19:37:05] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 19:37:05] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 19:37:05] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 19:38:34] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 19:38:34] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 19:38:34] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 19:38:34] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 19:38:34] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 19:38:34] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 19:38:34] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 19:38:34] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 19:38:34] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 19:41:38] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 19:41:38] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 19:41:38] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 19:41:38] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 19:41:38] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 19:41:38] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 19:41:38] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 19:41:38] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 19:41:38] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 19:43:32] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 19:43:32] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 19:43:32] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 19:43:32] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 19:43:32] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 19:43:32] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 19:43:32] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 19:43:32] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 19:43:32] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 19:44:37] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 19:44:37] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 19:44:37] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 19:44:37] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 19:44:37] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 19:44:37] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 19:44:37] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 19:44:37] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 19:44:37] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 19:53:18] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 19:53:18] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 19:53:18] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 19:53:18] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 19:53:18] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 19:53:18] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 19:53:18] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 19:53:18] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 19:53:18] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:03:38] [system.py:141] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:03:38] [system.py:142] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:03:38] [system.py:143] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:03:38] [system.py:144] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:03:38] [system.py:154] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:03:38] [system.py:164] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:03:38] [system.py:170] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:03:38] [system.py:177] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:03:38] [system.py:184] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:07:24] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:07:25] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:07:25] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:07:25] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:07:25] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:07:25] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:07:25] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:07:25] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:07:25] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:15:03] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:15:03] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:15:03] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:15:03] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:15:03] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:15:03] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:15:03] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:15:03] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:15:03] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:17:45] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:17:45] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:17:45] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:17:45] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:17:45] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:17:45] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:17:45] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:17:45] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:17:45] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:19:24] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:19:24] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:19:24] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:19:24] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:19:24] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:19:24] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:19:24] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:19:24] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:19:24] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:22:36] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:22:36] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:22:36] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:22:36] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:22:36] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:22:36] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:22:36] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:22:36] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:22:36] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:26:10] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:26:10] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:26:10] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:26:10] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:26:10] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:26:10] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:26:10] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:26:10] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:26:10] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:26:34] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:26:34] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:26:34] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:26:34] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:26:34] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:26:34] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:26:34] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:26:34] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:26:34] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:57:35] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:57:35] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:57:35] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:57:35] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:57:35] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:57:35] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:57:35] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:57:35] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:57:35] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-27 20:57:55] [system.py:144] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-27 20:57:55] [system.py:145] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-27 20:57:55] [system.py:146] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-27 20:57:55] [system.py:147] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-27 20:57:55] [system.py:157] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-27 20:57:55] [system.py:167] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-27 20:57:55] [system.py:173] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-27 20:57:55] [system.py:180] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-27 20:57:55] [system.py:187] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 14:39:54] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 14:39:54] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 14:39:54] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 14:39:54] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 14:39:54] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 14:39:54] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 14:39:54] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 14:39:54] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 14:39:54] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 14:41:00] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 14:41:00] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 14:41:00] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 14:41:00] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 14:41:00] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 14:41:00] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 14:41:00] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 14:41:00] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 14:41:00] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 14:41:44] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 14:41:44] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 14:41:44] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 14:41:44] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 14:41:44] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 14:41:44] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 14:41:44] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 14:41:44] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 14:41:44] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 15:04:48] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 15:04:48] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 15:04:48] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 15:04:48] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 15:04:48] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 15:04:48] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 15:04:48] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 15:04:48] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 15:04:48] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 15:05:52] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 15:05:52] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 15:05:52] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 15:05:52] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 15:05:52] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 15:05:52] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 15:05:52] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 15:05:52] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 15:05:52] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 15:07:40] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 15:07:40] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 15:07:40] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 15:07:40] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 15:07:40] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 15:07:40] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 15:07:40] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 15:07:40] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 15:07:40] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 15:30:19] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 15:30:19] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 15:30:19] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 15:30:19] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 15:30:19] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 15:30:19] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 15:30:19] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 15:30:19] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 15:30:19] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 17:53:46] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 17:53:46] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 17:53:46] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 17:53:46] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 17:53:46] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 17:53:46] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 17:53:46] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 17:53:46] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 17:53:46] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 17:57:08] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 17:57:08] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 17:57:08] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 17:57:08] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 17:57:08] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 17:57:08] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
[INFO] [2025-11-28 17:57:09] [system.py:223] [_initialize_managers] | LoginManager initialized successfully
[INFO] [2025-11-28 17:57:09] [system.py:230] [_initialize_managers] | ConfigurationManager initialized successfully
[INFO] [2025-11-28 17:57:09] [system.py:234] [_initialize_managers] | All managers initialized successfully
[INFO] [2025-11-28 17:59:11] [system.py:194] [_initialize_managers] | SafeHome Application started
[INFO] [2025-11-28 17:59:11] [system.py:195] [_initialize_managers] | Initializing managers...
[INFO] [2025-11-28 17:59:11] [system.py:196] [_initialize_managers] | StorageManager initialized successfully
[INFO] [2025-11-28 17:59:11] [system.py:197] [_initialize_managers] | LogManager initialized successfully
[INFO] [2025-11-28 17:59:11] [system.py:207] [_initialize_managers] | SensorManager initialized successfully
[INFO] [2025-11-28 17:59:11] [system.py:217] [_initialize_managers] | CameraManager initialized successfully
